Período,Região ID,Valor
2011-01-15T00:00:00.000Z,29,38.38
2022-01-15T00:00:00.000Z,16,38.47
2004-01-15T00:00:00.000Z,11,38.54
2011-01-15T00:00:00.000Z,26,38.59
2007-01-15T00:00:00.000Z,33,38.68
2015-01-15T00:00:00.000Z,25,38.68
2013-01-15T00:00:00.000Z,29,38.7
2023-01-15T00:00:00.000Z,26,38.73
2006-01-15T00:00:00.000Z,11,38.82
2010-01-15T00:00:00.000Z,26,38.86
2017-01-15T00:00:00.000Z,32,38.88
2019-01-15T00:00:00.000Z,29,38.92
2019-01-15T00:00:00.000Z,13,39.08
2015-01-15T00:00:00.000Z,16,39.22
2021-01-15T00:00:00.000Z,14,39.24
2023-01-15T00:00:00.000Z,29,39.31
2009-01-15T00:00:00.000Z,15,39.32
2003-01-15T00:00:00.000Z,11,39.33
2011-01-15T00:00:00.000Z,15,39.4
2012-01-15T00:00:00.000Z,25,39.52
2005-01-15T00:00:00.000Z,27,39.62
2019-01-15T00:00:00.000Z,24,39.65
2014-01-15T00:00:00.000Z,25,39.71
2019-01-15T00:00:00.000Z,15,39.94
2013-01-15T00:00:00.000Z,25,39.96
2015-01-15T00:00:00.000Z,29,39.99
2020-01-15T00:00:00.000Z,26,40.07
2022-01-15T00:00:00.000Z,29,40.45
2020-01-15T00:00:00.000Z,16,40.48
2010-01-15T00:00:00.000Z,29,40.57
2001-01-15T00:00:00.000Z,35,40.86
2000-01-15T00:00:00.000Z,35,40.99
2016-01-15T00:00:00.000Z,23,40.99
2001-01-15T00:00:00.000Z,11,41.01
2014-01-15T00:00:00.000Z,29,41.06
2012-01-15T00:00:00.000Z,15,41.09
2020-01-15T00:00:00.000Z,24,41.17
2012-01-15T00:00:00.000Z,28,41.33
2014-01-15T00:00:00.000Z,51,41.42
2012-01-15T00:00:00.000Z,29,41.55
2016-01-15T00:00:00.000Z,11,41.66
2015-01-15T00:00:00.000Z,26,41.76
2017-01-15T00:00:00.000Z,52,41.97
2011-01-15T00:00:00.000Z,25,42.08
2022-01-15T00:00:00.000Z,13,42.14
2013-01-15T00:00:00.000Z,14,42.21
2017-01-15T00:00:00.000Z,13,42.21
2018-01-15T00:00:00.000Z,29,42.26
2019-01-15T00:00:00.000Z,16,42.34
2014-01-15T00:00:00.000Z,32,42.38
2013-01-15T00:00:00.000Z,15,42.75
2014-01-15T00:00:00.000Z,15,42.79
2020-01-15T00:00:00.000Z,29,42.96
2013-01-15T00:00:00.000Z,32,43.13
2019-01-15T00:00:00.000Z,28,43.19
2020-01-15T00:00:00.000Z,28,43.3
2002-01-15T00:00:00.000Z,11,43.37
2017-01-15T00:00:00.000Z,16,43.37
2016-01-15T00:00:00.000Z,12,43.41
2021-01-15T00:00:00.000Z,13,43.65
2021-01-15T00:00:00.000Z,29,43.69
2020-01-15T00:00:00.000Z,23,43.83
2006-01-15T00:00:00.000Z,33,43.85
2017-01-15T00:00:00.000Z,14,43.97
2012-01-15T00:00:00.000Z,52,43.98
2005-01-15T00:00:00.000Z,33,44.07
2013-01-15T00:00:00.000Z,24,44.15
2014-01-15T00:00:00.000Z,52,44.16
2012-01-15T00:00:00.000Z,23,44.43
2009-01-15T00:00:00.000Z,26,44.66
2018-01-15T00:00:00.000Z,26,44.8
2012-01-15T00:00:00.000Z,32,44.88
2001-01-15T00:00:00.000Z,32,44.96
2013-01-15T00:00:00.000Z,28,44.98
